revenu_mensuel_net,revenu_annuel,charges_mensuelles_totales,montant_demande,nbr_mois_remboursement,anciennete_emploi_mois,type_contrat,TARGET
1026.0,12312.0,475.0,10201.0,34.0,153.0,CDI,0
805.0,9660.0,463.0,2039.0,10.0,42.0,CDI,0
1583.0,18996.0,861.0,4016.0,28.0,26.0,CDD,0
899.0,10788.0,513.0,2203.0,30.0,43.0,CDI,0
1452.0,17424.0,651.0,2962.0,20.0,59.0,CDI,0
1661.0,19932.0,621.0,10840.0,34.0,42.0,CDD,1
1661.0,19932.0,589.0,3701.0,21.0,16.0,CDI,0
1026.0,12312.0,549.0,1243.0,18.0,120.0,CDI,1
1661.0,19932.0,688.0,4121.0,14.0,25.0,CDI,0
621.0,7452.0,404.0,679.0,20.0,30.0,CDI,0
695.0,8340.0,452.0,991.0,10.0,178.0,CDI,0
933.0,11196.0,474.0,12602.0,36.0,147.0,CDI,0
3189.0,38268.0,997.0,13270.0,30.0,317.0,CDI,0
555.0,6660.0,361.0,573.0,20.0,39.0,CDI,0
3942.0,47304.0,1764.0,4378.0,20.0,233.0,CDD,0
555.0,6660.0,361.0,2203.0,31.0,26.0,CDI,0
1912.0,22944.0,1116.0,1352.0,19.0,46.0,CDD,0
1452.0,17424.0,665.0,6599.0,18.0,137.0,CDI,0
555.0,6660.0,361.0,914.0,20.0,78.0,CDI,0
3189.0,38268.0,1371.0,4011.0,23.0,58.0,CDI,0
3942.0,47304.0,1297.0,11118.0,26.0,70.0,CDI,0
1452.0,17424.0,672.0,13950.0,19.0,82.0,CDD,0
1452.0,17424.0,563.0,9652.0,24.0,44.0,CDI,0
805.0,9660.0,497.0,526.0,9.0,124.0,CDI,0
1452.0,17424.0,518.0,1395.0,33.0,85.0,CDD,0
1452.0,17424.0,613.0,11367.0,31.0,19.0,CDD,0
1452.0,17424.0,689.0,8878.0,24.0,162.0,CDI,0
1912.0,22944.0,636.0,1092.0,20.0,4.0,CDI,0
1231.0,14772.0,662.0,2039.0,20.0,105.0,CDD,0
1452.0,17424.0,552.0,2039.0,21.0,4.0,CDD,0
1452.0,17424.0,944.0,2039.0,21.0,95.0,CDD,0
712.0,8544.0,453.0,3409.0,23.0,30.0,CDI,0
1912.0,22944.0,1026.0,2458.0,19.0,39.0,CDI,0
1231.0,14772.0,668.0,5300.0,26.0,74.0,CDI,0
1026.0,12312.0,667.0,4378.0,31.0,83.0,CDD,0
1661.0,19932.0,895.0,11784.0,34.0,67.0,CDI,0
805.0,9660.0,523.0,573.0,20.0,136.0,CDD,0
1026.0,12312.0,534.0,1501.0,21.0,94.0,CDI,0
682.0,8184.0,443.0,3497.0,21.0,24.0,CDI,0
555.0,6660.0,361.0,573.0,20.0,48.0,CDI,0
1231.0,14772.0,570.0,5439.0,25.0,81.0,CDI,0
1912.0,22944.0,570.0,1092.0,20.0,31.0,CDI,0
1661.0,19932.0,925.0,5866.0,21.0,36.0,CDI,0
1661.0,19932.0,688.0,1523.0,16.0,32.0,CDI,0
919.0,11028.0,597.0,1442.0,32.0,6.0,CDI,0
555.0,6660.0,361.0,2039.0,27.0,56.0,CDI,0
621.0,7452.0,404.0,3213.0,18.0,29.0,CDI,0
1576.0,18912.0,734.0,815.0,9.0,295.0,CDI,0
1347.0,16164.0,876.0,3119.0,17.0,47.0,CDI,0
1026.0,12312.0,667.0,1652.0,15.0,25.0,CDD,0
805.0,9660.0,523.0,6799.0,31.0,42.0,CDD,0
2771.0,33252.0,960.0,8042.0,15.0,67.0,CDD,1
555.0,6660.0,361.0,573.0,20.0,266.0,CDI,0
1026.0,12312.0,578.0,1210.0,13.0,23.0,CDD,0
621.0,7452.0,404.0,1395.0,21.0,12.0,CDI,0
2094.0,25128.0,660.0,7284.0,28.0,225.0,CDI,0
555.0,6660.0,361.0,679.0,20.0,81.0,CDI,0
1026.0,12312.0,461.0,5683.0,28.0,98.0,CDI,0
919.0,11028.0,513.0,5783.0,30.0,22.0,CDI,0
555.0,6660.0,361.0,6061.0,31.0,82.0,CDD,0
712.0,8544.0,463.0,4378.0,34.0,282.0,CDI,0
1026.0,12312.0,667.0,679.0,20.0,26.0,CDI,0
555.0,6660.0,361.0,573.0,20.0,8.0,CDI,0
1231.0,14772.0,648.0,4957.0,24.0,9.0,CDD,1
2351.0,28212.0,864.0,6972.0,20.0,39.0,CDD,0
1661.0,19932.0,553.0,10522.0,15.0,32.0,CDD,0
555.0,6660.0,361.0,1705.0,20.0,35.0,CDI,0
1661.0,19932.0,554.0,679.0,20.0,16.0,CDD,0
1026.0,12312.0,577.0,1724.0,15.0,7.0,CDD,0
1231.0,14772.0,715.0,13682.0,32.0,8.0,CDI,0
1231.0,14772.0,751.0,1311.0,13.0,77.0,CDI,0
1231.0,14772.0,511.0,4378.0,20.0,27.0,CDD,0
3189.0,38268.0,1230.0,3436.0,21.0,180.0,CDI,0
1319.0,15828.0,607.0,1092.0,20.0,114.0,CDI,0
805.0,9660.0,518.0,2883.0,18.0,152.0,CDI,0
1661.0,19932.0,810.0,994.0,16.0,146.0,CDI,0
1026.0,12312.0,667.0,2669.0,23.0,94.0,CDI,0
2145.0,25740.0,780.0,5300.0,21.0,288.0,CDD,0
1347.0,16164.0,514.0,2930.0,20.0,16.0,CDI,0
1026.0,12312.0,555.0,712.0,15.0,48.0,CDD,0
1231.0,14772.0,538.0,940.0,26.0,92.0,CDI,0
1661.0,19932.0,605.0,9855.0,34.0,63.0,CDI,0
1132.0,13584.0,588.0,679.0,20.0,100.0,CDI,0
1231.0,14772.0,532.0,4378.0,31.0,97.0,CDI,0
1231.0,14772.0,800.0,7983.0,24.0,180.0,CDD,0
1452.0,17424.0,624.0,14124.0,29.0,52.0,CDI,0
1452.0,17424.0,497.0,3537.0,21.0,61.0,CDD,0
1912.0,22944.0,701.0,13320.0,36.0,134.0,CDD,0
2572.0,30864.0,787.0,4378.0,18.0,7.0,CDI,1
621.0,7452.0,404.0,1649.0,27.0,87.0,CDD,0
933.0,11196.0,500.0,3231.0,28.0,191.0,CDI,0
3942.0,47304.0,1248.0,1791.0,9.0,88.0,CDD,0
555.0,6660.0,361.0,605.0,10.0,63.0,CDI,0
1452.0,17424.0,602.0,1851.0,9.0,35.0,CDD,0
884.0,10608.0,536.0,5683.0,29.0,87.0,CDI,0
1452.0,17424.0,944.0,815.0,20.0,67.0,CDI,0
1661.0,19932.0,802.0,11245.0,28.0,9.0,CDI,0
1026.0,12312.0,519.0,9464.0,34.0,144.0,CDI,0
805.0,9660.0,523.0,1329.0,9.0,11.0,CDI,0
889.0,10668.0,462.0,4655.0,23.0,50.0,CDI,0
1661.0,19932.0,676.0,4378.0,13.0,77.0,CDD,0
2771.0,33252.0,962.0,11784.0,34.0,165.0,CDD,0
1231.0,14772.0,613.0,896.0,19.0,256.0,CDI,1
805.0,9660.0,523.0,573.0,20.0,159.0,CDI,0
1912.0,22944.0,801.0,12297.0,24.0,193.0,CDI,0
1026.0,12312.0,509.0,1005.0,18.0,36.0,CDI,0
1319.0,15828.0,473.0,1001.0,11.0,149.0,CDD,0
805.0,9660.0,523.0,3020.0,31.0,278.0,CDI,0
730.0,8760.0,462.0,815.0,11.0,5.0,CDD,1
1912.0,22944.0,797.0,1274.0,20.0,31.0,CDD,0
1231.0,14772.0,800.0,1395.0,20.0,175.0,CDI,0
621.0,7452.0,404.0,1473.0,36.0,11.0,CDD,0
1324.0,15888.0,499.0,5300.0,24.0,78.0,CDI,0
1231.0,14772.0,800.0,2487.0,17.0,38.0,CDI,0
1026.0,12312.0,667.0,2850.0,16.0,60.0,CDI,0
805.0,9660.0,480.0,1029.0,14.0,16.0,CDI,0
1771.0,21252.0,719.0,2039.0,17.0,91.0,CDI,0
1452.0,17424.0,769.0,4378.0,18.0,73.0,CDD,0
555.0,6660.0,361.0,6061.0,31.0,46.0,CDI,0
1231.0,14772.0,703.0,1416.0,13.0,57.0,CDD,0
1231.0,14772.0,478.0,4795.0,31.0,120.0,CDI,0
1452.0,17424.0,654.0,6942.0,31.0,93.0,CDD,0
1452.0,17424.0,944.0,2962.0,20.0,35.0,CDD,1
1661.0,19932.0,808.0,5561.0,30.0,1.0,CDI,0
1912.0,22944.0,1243.0,5144.0,15.0,11.0,CDD,0
555.0,6660.0,361.0,1174.0,14.0,43.0,CDI,0
1661.0,19932.0,719.0,1876.0,15.0,4.0,CDD,1
621.0,7452.0,404.0,509.0,10.0,331.0,CDI,0
1452.0,17424.0,481.0,959.0,10.0,47.0,CDI,0
2975.0,35700.0,1037.0,6868.0,18.0,8.0,CDD,0
2771.0,33252.0,1171.0,14856.0,27.0,50.0,CDD,0
1912.0,22944.0,746.0,8942.0,34.0,6.0,CDD,0
1912.0,22944.0,676.0,4710.0,9.0,360.0,CDD,0
1912.0,22944.0,1117.0,11367.0,34.0,189.0,CDD,0
1231.0,14772.0,800.0,4926.0,25.0,151.0,CDD,0
805.0,9660.0,523.0,1092.0,20.0,23.0,CDI,0
2572.0,30864.0,1005.0,8775.0,18.0,8.0,CDI,0
899.0,10788.0,584.0,9827.0,34.0,14.0,CDI,0
1231.0,14772.0,529.0,3020.0,34.0,168.0,CDI,0
1026.0,12312.0,466.0,1773.0,20.0,28.0,CDI,0
725.0,8700.0,471.0,7660.0,30.0,97.0,CDD,0
1771.0,21252.0,708.0,4699.0,23.0,23.0,CDI,0
555.0,6660.0,361.0,679.0,20.0,18.0,CDI,0
1026.0,12312.0,491.0,1635.0,18.0,16.0,CDI,0
805.0,9660.0,521.0,1336.0,15.0,63.0,CDI,0
1132.0,13584.0,736.0,11784.0,34.0,9.0,CDI,0
1026.0,12312.0,667.0,5683.0,16.0,44.0,CDD,0
1912.0,22944.0,857.0,13182.0,29.0,57.0,CDI,0
1026.0,12312.0,667.0,3537.0,21.0,132.0,CDI,0
621.0,7452.0,404.0,532.0,9.0,245.0,CDI,0
805.0,9660.0,465.0,625.0,12.0,19.0,CDI,0
2145.0,25740.0,867.0,1911.0,13.0,167.0,CDI,0
1026.0,12312.0,488.0,2455.0,18.0,5.0,CDI,1
1912.0,22944.0,711.0,1751.0,21.0,114.0,CDI,0
555.0,6660.0,361.0,514.0,17.0,177.0,CDI,0
555.0,6660.0,361.0,522.0,14.0,5.0,CDI,0
1661.0,19932.0,669.0,1092.0,19.0,65.0,CDI,0
1912.0,22944.0,629.0,2388.0,10.0,42.0,CDI,0
2572.0,30864.0,1081.0,9464.0,31.0,71.0,CDD,0
2771.0,33252.0,760.0,6365.0,16.0,147.0,CDI,0
1026.0,12312.0,460.0,517.0,9.0,54.0,CDI,0
1452.0,17424.0,650.0,679.0,9.0,58.0,CDI,0
621.0,7452.0,404.0,2786.0,23.0,80.0,CDD,0
2771.0,33252.0,1207.0,13768.0,36.0,111.0,CDI,0
805.0,9660.0,459.0,4957.0,21.0,9.0,CDD,0
1231.0,14772.0,571.0,11367.0,34.0,33.0,CDD,0
1912.0,22944.0,777.0,4378.0,36.0,109.0,CDD,0
555.0,6660.0,361.0,815.0,12.0,34.0,CDI,0
1452.0,17424.0,528.0,1848.0,18.0,44.0,CDD,0
1026.0,12312.0,667.0,679.0,20.0,15.0,CDI,0
1231.0,14772.0,598.0,14017.0,26.0,309.0,CDI,1
2650.0,31800.0,737.0,12113.0,34.0,37.0,CDI,0
1026.0,12312.0,501.0,2487.0,13.0,60.0,CDI,0
805.0,9660.0,523.0,4378.0,31.0,165.0,CDD,0
555.0,6660.0,361.0,573.0,20.0,5.0,CDD,1
1026.0,12312.0,507.0,5159.0,20.0,29.0,CDD,0
1452.0,17424.0,944.0,4378.0,23.0,107.0,CDI,0
805.0,9660.0,493.0,679.0,20.0,40.0,CDI,0
899.0,10788.0,584.0,1001.0,15.0,15.0,CDI,1
1231.0,14772.0,555.0,2039.0,21.0,22.0,CDI,0
1661.0,19932.0,592.0,2815.0,20.0,256.0,CDI,0
1026.0,12312.0,573.0,780.0,13.0,5.0,CDI,0
1152.0,13824.0,690.0,1260.0,20.0,24.0,CDI,0
1661.0,19932.0,637.0,11542.0,19.0,100.0,CDI,0
1231.0,14772.0,507.0,6504.0,24.0,238.0,CDD,0
1912.0,22944.0,942.0,8684.0,33.0,20.0,CDD,1
1912.0,22944.0,869.0,779.0,9.0,37.0,CDD,0
1026.0,12312.0,567.0,1472.0,20.0,42.0,CDI,0
2351.0,28212.0,896.0,2301.0,10.0,103.0,CDI,0
805.0,9660.0,463.0,2962.0,20.0,360.0,CDI,0
555.0,6660.0,361.0,1846.0,19.0,52.0,CDD,1
805.0,9660.0,523.0,3381.0,18.0,6.0,CDI,1
1452.0,17424.0,655.0,716.0,20.0,16.0,CDI,0
1912.0,22944.0,607.0,4378.0,20.0,360.0,CDI,0
1026.0,12312.0,528.0,869.0,15.0,3.0,CDI,0
1912.0,22944.0,732.0,2166.0,13.0,49.0,CDI,0
1231.0,14772.0,499.0,764.0,10.0,113.0,CDI,0
1231.0,14772.0,576.0,1001.0,17.0,104.0,CDI,0
1452.0,17424.0,550.0,9264.0,34.0,41.0,CDI,0
2572.0,30864.0,1403.0,881.0,9.0,86.0,CDI,0
899.0,10788.0,584.0,1243.0,14.0,2.0,CDI,0
555.0,6660.0,361.0,3794.0,23.0,164.0,CDI,0
1452.0,17424.0,658.0,3849.0,21.0,248.0,CDI,0
621.0,7452.0,404.0,1680.0,32.0,6.0,CDI,0
1026.0,12312.0,667.0,5683.0,24.0,26.0,CDD,0
1912.0,22944.0,685.0,2349.0,10.0,97.0,CDI,0
2351.0,28212.0,1157.0,2732.0,17.0,47.0,CDD,0
1912.0,22944.0,941.0,959.0,9.0,18.0,CDI,0
3942.0,47304.0,1508.0,13768.0,28.0,79.0,CDD,0
805.0,9660.0,523.0,605.0,8.0,58.0,CDD,0
1026.0,12312.0,576.0,3958.0,20.0,96.0,CDI,0
1452.0,17424.0,491.0,1794.0,13.0,78.0,CDI,0
1347.0,16164.0,815.0,11539.0,30.0,274.0,CDI,0
1026.0,12312.0,523.0,900.0,14.0,22.0,CDI,0
3426.0,41112.0,1010.0,2039.0,15.0,29.0,CDD,0
621.0,7452.0,404.0,532.0,9.0,28.0,CDI,0
1231.0,14772.0,550.0,2487.0,17.0,45.0,CDD,1
2351.0,28212.0,976.0,3119.0,20.0,29.0,CDD,0
2351.0,28212.0,963.0,3849.0,27.0,50.0,CDI,0
1331.0,15972.0,508.0,2437.0,20.0,94.0,CDD,0
1661.0,19932.0,904.0,5783.0,18.0,114.0,CDD,0
555.0,6660.0,361.0,3119.0,26.0,237.0,CDI,0
621.0,7452.0,404.0,532.0,9.0,11.0,CDI,0
2771.0,33252.0,921.0,522.0,20.0,14.0,CDI,0
805.0,9660.0,521.0,815.0,15.0,130.0,CDD,0
1231.0,14772.0,604.0,2039.0,26.0,32.0,CDI,0
1452.0,17424.0,542.0,3456.0,23.0,226.0,CDI,0
1026.0,12312.0,461.0,11039.0,25.0,12.0,CDI,0
555.0,6660.0,361.0,2894.0,28.0,18.0,CDI,0
805.0,9660.0,523.0,573.0,20.0,79.0,CDD,0
2771.0,33252.0,990.0,7998.0,22.0,21.0,CDI,0
1452.0,17424.0,498.0,720.0,13.0,13.0,CDI,0
1912.0,22944.0,667.0,679.0,20.0,48.0,CDD,0
805.0,9660.0,523.0,852.0,20.0,9.0,CDI,0
555.0,6660.0,361.0,743.0,20.0,149.0,CDD,0
2351.0,28212.0,803.0,14350.0,29.0,17.0,CDI,0
1231.0,14772.0,758.0,5931.0,30.0,122.0,CDD,0
3189.0,38268.0,1352.0,2417.0,10.0,15.0,CDD,0
2771.0,33252.0,857.0,8720.0,34.0,45.0,CDI,0
3942.0,47304.0,1571.0,12602.0,20.0,105.0,CDD,0
1331.0,15972.0,619.0,4378.0,28.0,116.0,CDI,0
1231.0,14772.0,561.0,2841.0,23.0,19.0,CDD,0
3942.0,47304.0,1268.0,6061.0,26.0,14.0,CDD,0
1912.0,22944.0,703.0,7628.0,20.0,109.0,CDI,0
805.0,9660.0,523.0,12152.0,31.0,251.0,CDI,0
1452.0,17424.0,532.0,7890.0,31.0,89.0,CDD,0
3189.0,38268.0,1093.0,959.0,13.0,45.0,CDI,0
1231.0,14772.0,800.0,881.0,9.0,43.0,CDI,0
2145.0,25740.0,946.0,6061.0,31.0,21.0,CDI,0
805.0,9660.0,501.0,7890.0,31.0,171.0,CDI,0
3942.0,47304.0,1204.0,7284.0,16.0,49.0,CDI,0
899.0,10788.0,539.0,1311.0,26.0,4.0,CDD,0
1452.0,17424.0,872.0,3958.0,31.0,27.0,CDI,0
2572.0,30864.0,1213.0,9743.0,25.0,52.0,CDD,0
695.0,8340.0,438.0,2669.0,25.0,138.0,CDI,0
2145.0,25740.0,651.0,14593.0,29.0,12.0,CDI,0
621.0,7452.0,404.0,3278.0,36.0,41.0,CDI,0
1152.0,13824.0,749.0,6061.0,31.0,17.0,CDI,0
1452.0,17424.0,944.0,679.0,20.0,21.0,CDI,0
3597.0,43164.0,1747.0,14856.0,36.0,205.0,CDI,0
1912.0,22944.0,730.0,6942.0,28.0,23.0,CDD,0
1132.0,13584.0,480.0,12936.0,36.0,100.0,CDI,0
555.0,6660.0,361.0,679.0,21.0,93.0,CDI,0
2771.0,33252.0,824.0,12602.0,34.0,50.0,CDI,0
1452.0,17424.0,504.0,2039.0,20.0,7.0,CDI,0
1231.0,14772.0,503.0,2732.0,19.0,121.0,CDI,0
555.0,6660.0,361.0,2203.0,16.0,14.0,CDD,0
805.0,9660.0,464.0,2203.0,19.0,63.0,CDD,0
1452.0,17424.0,632.0,11440.0,22.0,136.0,CDI,0
3942.0,47304.0,1524.0,8908.0,31.0,185.0,CDI,0
1026.0,12312.0,667.0,1416.0,13.0,62.0,CDI,0
805.0,9660.0,521.0,2863.0,19.0,135.0,CDI,0
805.0,9660.0,523.0,5849.0,21.0,81.0,CDI,0
1452.0,17424.0,534.0,5300.0,21.0,29.0,CDI,0
1026.0,12312.0,471.0,2732.0,17.0,59.0,CDI,0
555.0,6660.0,361.0,524.0,10.0,73.0,CDI,0
3942.0,47304.0,1284.0,7284.0,28.0,77.0,CDD,0
3942.0,47304.0,1231.0,12328.0,31.0,42.0,CDI,0
805.0,9660.0,445.0,547.0,9.0,5.0,CDI,1
621.0,7452.0,404.0,4734.0,34.0,95.0,CDI,0
555.0,6660.0,361.0,2039.0,15.0,166.0,CDI,0
621.0,7452.0,404.0,11103.0,34.0,69.0,CDI,0
1452.0,17424.0,627.0,3827.0,23.0,31.0,CDI,0
621.0,7452.0,404.0,621.0,9.0,10.0,CDI,0
1231.0,14772.0,710.0,14058.0,36.0,223.0,CDI,0
621.0,7452.0,404.0,2437.0,20.0,43.0,CDI,0
1231.0,14772.0,687.0,2282.0,10.0,129.0,CDI,0
1661.0,19932.0,815.0,1179.0,9.0,52.0,CDI,0
805.0,9660.0,454.0,2039.0,28.0,156.0,CDD,0
805.0,9660.0,523.0,1773.0,20.0,81.0,CDD,0
555.0,6660.0,361.0,1344.0,14.0,20.0,CDI,1
1145.0,13740.0,464.0,5916.0,25.0,233.0,CDI,0
1661.0,19932.0,950.0,3653.0,24.0,105.0,CDI,0
1231.0,14772.0,594.0,7890.0,34.0,185.0,CDI,0
1132.0,13584.0,530.0,1907.0,26.0,360.0,CDD,0
1347.0,16164.0,806.0,8632.0,28.0,68.0,CDI,1
2145.0,25740.0,1087.0,2732.0,19.0,110.0,CDI,0
3942.0,47304.0,1781.0,12602.0,20.0,109.0,CDD,0
1026.0,12312.0,667.0,6416.0,34.0,115.0,CDI,0
1758.0,21096.0,883.0,3119.0,20.0,30.0,CDI,0
1758.0,21096.0,634.0,1092.0,20.0,24.0,CDI,0
2351.0,28212.0,829.0,815.0,20.0,15.0,CDD,0
2771.0,33252.0,898.0,2962.0,20.0,5.0,CDD,0
2201.0,26412.0,764.0,1243.0,17.0,71.0,CDI,0
731.0,8772.0,475.0,605.0,19.0,267.0,CDD,0
805.0,9660.0,502.0,1545.0,20.0,27.0,CDI,0
1026.0,12312.0,472.0,3119.0,26.0,182.0,CDI,0
555.0,6660.0,361.0,815.0,17.0,16.0,CDI,0
3942.0,47304.0,1214.0,12602.0,20.0,22.0,CDD,0
1912.0,22944.0,625.0,12419.0,34.0,129.0,CDD,0
805.0,9660.0,523.0,4776.0,20.0,13.0,CDI,0
1026.0,12312.0,667.0,3119.0,21.0,17.0,CDI,1
3597.0,43164.0,1275.0,13182.0,29.0,67.0,CDD,0
3942.0,47304.0,1482.0,7284.0,20.0,88.0,CDD,0
3597.0,43164.0,963.0,2437.0,20.0,12.0,CDD,0
1912.0,22944.0,792.0,2615.0,16.0,10.0,CDI,0
805.0,9660.0,523.0,1210.0,13.0,5.0,CDI,1
621.0,7452.0,404.0,1728.0,19.0,178.0,CDI,0
621.0,7452.0,404.0,679.0,20.0,6.0,CDI,0
3942.0,47304.0,1037.0,2301.0,9.0,48.0,CDD,0
1452.0,17424.0,615.0,2962.0,20.0,318.0,CDI,0
805.0,9660.0,523.0,1905.0,26.0,30.0,CDD,0
2351.0,28212.0,926.0,6215.0,20.0,22.0,CDI,1
2351.0,28212.0,1138.0,1635.0,15.0,14.0,CDD,0
621.0,7452.0,404.0,871.0,9.0,132.0,CDI,0
1026.0,12312.0,501.0,5300.0,20.0,78.0,CDI,1
1576.0,18912.0,630.0,1367.0,18.0,21.0,CDI,0
3942.0,47304.0,1902.0,4890.0,12.0,30.0,CDI,0
2351.0,28212.0,777.0,11784.0,31.0,86.0,CDI,0
805.0,9660.0,523.0,6427.0,28.0,77.0,CDI,0
3942.0,47304.0,1126.0,10201.0,34.0,73.0,CDI,0
1026.0,12312.0,542.0,679.0,20.0,13.0,CDD,0
805.0,9660.0,510.0,2355.0,19.0,51.0,CDI,0
1912.0,22944.0,680.0,4609.0,18.0,40.0,CDI,0
1661.0,19932.0,728.0,6616.0,24.0,144.0,CDD,0
2145.0,25740.0,918.0,10201.0,36.0,62.0,CDI,0
1661.0,19932.0,634.0,2362.0,12.0,105.0,CDD,0
1231.0,14772.0,565.0,716.0,15.0,7.0,CDD,0
1912.0,22944.0,1233.0,4378.0,27.0,124.0,CDI,0
805.0,9660.0,517.0,1546.0,21.0,66.0,CDI,0
1661.0,19932.0,955.0,2039.0,11.0,5.0,CDD,0
3942.0,47304.0,1216.0,14593.0,32.0,86.0,CDD,0
555.0,6660.0,361.0,2203.0,24.0,52.0,CDI,0
1452.0,17424.0,651.0,6675.0,24.0,245.0,CDD,0
1231.0,14772.0,579.0,8856.0,24.0,30.0,CDD,0
1026.0,12312.0,489.0,1092.0,20.0,86.0,CDI,0
1452.0,17424.0,752.0,1525.0,16.0,77.0,CDI,0
1912.0,22944.0,616.0,9770.0,21.0,60.0,CDD,0
805.0,9660.0,523.0,1210.0,14.0,106.0,CDI,0
1231.0,14772.0,606.0,770.0,19.0,4.0,CDI,0
1132.0,13584.0,736.0,522.0,11.0,22.0,CDD,0
805.0,9660.0,505.0,1092.0,20.0,33.0,CDD,0
621.0,7452.0,404.0,4378.0,34.0,154.0,CDI,0
1026.0,12312.0,545.0,1029.0,15.0,12.0,CDI,0
1026.0,12312.0,576.0,5543.0,22.0,127.0,CDD,0
805.0,9660.0,523.0,7597.0,36.0,20.0,CDI,0
695.0,8340.0,439.0,1170.0,21.0,4.0,CDI,0
899.0,10788.0,446.0,1693.0,20.0,179.0,CDI,0
1231.0,14772.0,462.0,982.0,18.0,145.0,CDD,0
621.0,7452.0,404.0,815.0,19.0,45.0,CDI,0
695.0,8340.0,452.0,5783.0,19.0,56.0,CDD,0
1452.0,17424.0,831.0,9036.0,28.0,112.0,CDI,0
1231.0,14772.0,676.0,2039.0,18.0,101.0,CDI,0
1554.0,18648.0,635.0,815.0,10.0,112.0,CDI,0
1231.0,14772.0,689.0,1506.0,13.0,33.0,CDI,1
1452.0,17424.0,937.0,7284.0,21.0,36.0,CDI,1
805.0,9660.0,497.0,610.0,14.0,297.0,CDI,0
686.0,8232.0,446.0,934.0,19.0,4.0,CDD,0
1132.0,13584.0,496.0,8652.0,34.0,336.0,CDI,0
1758.0,21096.0,634.0,2039.0,21.0,5.0,CDI,1
1912.0,22944.0,757.0,3119.0,19.0,128.0,CDD,0
2145.0,25740.0,649.0,4153.0,28.0,91.0,CDD,0
1912.0,22944.0,622.0,10201.0,36.0,16.0,CDD,0
805.0,9660.0,503.0,1487.0,20.0,10.0,CDI,0
1912.0,22944.0,716.0,12264.0,30.0,60.0,CDD,0
1231.0,14772.0,622.0,1092.0,20.0,43.0,CDI,0
3942.0,47304.0,1259.0,14895.0,20.0,360.0,CDI,0
2975.0,35700.0,1117.0,4378.0,20.0,144.0,CDI,0
1026.0,12312.0,457.0,10712.0,30.0,54.0,CDI,0
1452.0,17424.0,944.0,6504.0,21.0,27.0,CDD,0
884.0,10608.0,575.0,7782.0,34.0,115.0,CDI,0
695.0,8340.0,452.0,679.0,20.0,9.0,CDI,1
1452.0,17424.0,619.0,12903.0,36.0,7.0,CDD,0
2572.0,30864.0,1147.0,8273.0,25.0,64.0,CDI,0
1231.0,14772.0,727.0,8089.0,36.0,56.0,CDI,0
1912.0,22944.0,652.0,10201.0,19.0,8.0,CDD,0
1452.0,17424.0,929.0,815.0,9.0,11.0,CDD,0
1026.0,12312.0,667.0,1586.0,21.0,152.0,CDD,0
1452.0,17424.0,944.0,1092.0,9.0,6.0,CDI,0
2351.0,28212.0,720.0,2835.0,20.0,56.0,CDI,0
2351.0,28212.0,918.0,6504.0,26.0,130.0,CDD,0
3189.0,38268.0,1197.0,1534.0,26.0,147.0,CDD,0
1121.0,13452.0,562.0,1029.0,26.0,73.0,CDI,0
919.0,11028.0,540.0,1210.0,26.0,46.0,CDI,0
